1Procedurální	2Procedurální	3Rovnost	4Rovnost	5Potøeby	6Potøeby	7Procedurální	8Procedurální	9Procedurální	10Potøeby	11Rovnost	12Potøeby	13Zásluhy	14Zásluhy	15Rovnost	16Rovnost	17Potøeby	18Rovnost_r	19Potøeby	20Zásluhy	21Zásluhy	22Zásluhy	23Rovnost	24Procedurální	25Procedurální	26Potøeby	27Zásluhy	28Procedurální	29Potøeby	30Rovnost	31Zásluhy	32Zásluhy	33Rovnost	34Zásluhy	35Potøeby	36Procedurální	1PQ	2PQ	3PQ		1NQ	2NQ	3NQ	
7	7	7	7	6	4	5	7	7	4	5	3	4	6	6	4	6	5	4	7	7	6	4	5	5	5	4	6	7	7	6	6	7	6	6	7	3	5	5	4.333333333	1	1	1	1
6	5	6	4	5	4	5	6	6	3	6	4	5	5	5	4	6	5	5	6	6	5	6	6	5	6	4	7	7	6	6	5	7	6	5	5	4	4	5	4.333333333	1	3	1	1.666666667
5	5	6	4	6	6	6	6	5	5	5	6	4	4	4	2	5	6	5	5	5	5	4	5	5	6	4	6	6	6	5	5	6	6	6	3	3	2	3	2.666666667	4	2	3	3
7	7	7	6	7	5	7	7	7	7	6	2	5	7	6	7	7	2	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	4	4	5	4.333333333	2	3	1	2
7	7	7	5	3	5	6	7	7	1	7	1	6	7	6	6	5	4	6	6	6	5	5	6	5	6	4	6	7	6	6	5	6	5	5	7	4	3	4	3.666666667	4	1	3	2.666666667
6	7	7	3	7	5	6	6	7	3	6	1	6	6	4	4	6	4	5	7	7	7	7	7	4	5	5	7	7	5	7	7	7	6	6	5	5	2	2	3	4	3	2	3
6	6	6	2	3	4	4	7	6	5	4	3	4	6	3	7	6	4	3	6	4	3	7	6	2	6	2	5	6	7	7	2	5	6	6	4	2	4	5	3.666666667	3	1	2	2
6	4	6	3	7	5	4	6	5	4	3	5	5	5	3	3	5	5	5	5	4	5	4	5	5	6	4	4	6	5	5	4	6	6	5	4	4	4	4	4	3	2	2	2.333333333
6	5	7	6	7	6	5	6	6	5	6	4	5	5	6	6	7	4	6	5	5	4	6	7	4	7	6	5	6	7	6	6	7	7	1	6	5	4	4	4.333333333	3	3	3	3
6	6	6	6	7	5	5	7	6	3	5	2	4	6	5	6	6	6	5	6	3	5	5	6	5	5	3	6	5	5	5	5	7	4	5	6	5	3	4	4	1	3	4	2.666666667
7	7	6	7	6	5	5	7	7	4	6	3	5	6	7	6	6	2	5	7	6	6	7	5	6	7	5	7	6	7	6	5	7	6	7	6	4	3	5	4	1	4	1	2
6	6	7	6	5	5	5	6	6	3	5	2	6	6	6	6	6	5	5	6	7	6	7	6	6	5	5	3	6	7	6	6	6	6	5	6	5	4	5	4.666666667	5	2	2	3
6	7	7	6	7	7	6	6	7	6	5	5	4	5	6	4	6	4	5	4	5	6	6	7	6	7	1	6	6	6	6	5	7	7	7	6	3	3	4	3.333333333	4	2	2	2.666666667
7	5	7	5	6	4	6	7	7	4	6	5	3	4	6	5	7	4	4	5	5	6	5	4	3	6	5	6	7	5	6	6	7	4	6	7	5	4	5	4.666666667	2	1	2	1.666666667
7	7	7	7	2	2	4	7	7	2	7	2	6	7	6	4	6	6	2	7	7	5	6	7	6	7	6	7	6	7	7	7	7	7	7	7	5	4	5	4.666666667	1	3	1	1.666666667
7	6	6	4	4	5	6	6	7	4	5	4	6	5	6	6	6	4	5	5	6	5	5	6	6	7	4	7	6	7	5	5	7	6	7	7	4	5	5	4.666666667	4	3	1	2.666666667
6	6	6	4	6	6	5	7	7	5	7	5	6	6	5	6	7	4	6	6	6	7	4	7	6	6	3	7	6	6	6	5	6	7	7	6	4	4	4	4	3	3	2	2.666666667
7	7	7	4	6	7	4	6	6	5	4	5	4	4	4	4	5	6	5	3	6	6	3	7	3	7	3	4	6	7	4	5	7	6	7	6	4	5	5	4.666666667	1	1	1	1
7	6	7	7	6	4	4	4	5	6	4	6	6	7	3	6	7	3	7	7	7	7	3	4	4	7	3	7	7	7	7	7	6	7	7	6	3	3	4	3.333333333	2	1	1	1.333333333
6	6	5	3	4	5	5	4	4	2	3	3	4	5	3	3	5	5	4	5	6	6	6	5	4	5	4	3	5	5	5	5	5	6	6	3	4	2	3	3	3	2	2	2.333333333
7	6	7	6	4	3	5	6	7	3	4	4	4	6	7	7	6	1	6	7	5	6	7	6	5	7	5	7	6	7	6	5	7	5	6	7	4	5	4	4.333333333	1	2	1	1.333333333
6	6	7	6	5	3	3	7	6	3	6	3	4	7	5	7	7	6	7	7	7	7	7	4	3	6	5	3	6	7	7	4	7	7	7	6	4	4	4	4	2	1	1	1.333333333
6	6	6	3	6	4	4	5	6	4	3	4	2	5	4	5	6	5	6	5	5	5	3	7	6	6	4	5	4	6	7	6	7	5	4	4	4	4	4	4	2	1	1	1.333333333
6	5	7	6	6	6	4	7	5	5	6	5	4	4	5	6	6	3	5	5	5	5	6	5	5	7	5	7	7	6	6	6	7	7	7	6	4	3	5	4	1	2	1	1.333333333
6	6	7	6	7	6	5	7	6	4	5	4	6	6	5	5	5	2	3	3	6	7	4	5	6	7	5	6	6	6	6	6	6	7	7	7	4	4	4	4	3	3	2	2.666666667
6	6	7	5	5	5	6	6	6	3	6	3	5	5	6	5	6	5	4	5	5	5	7	6	5	7	5	6	6	7	6	6	6	6	6	6	4	4	3	3.666666667	2	1	1	1.333333333
7	7	6	5	3	5	6	7	7	3	4	6	6	7	3	3	5	5	3	6	5	6	3	7	6	5	3	7	7	5	6	4	6	7	5	7	4	3	4	3.666666667	3	1	1	1.666666667
7	6	7	4	3	4	6	7	6	2	5	3	5	2	6	7	5	3	5	5	6	5	7	5	4	6	4	6	5	7	6	3	6	4	7	6	5	4	4	4.333333333	2	2	1	1.666666667
7	6	7	5	4	5	7	7	5	3	6	3	6	6	5	5	6	3	3	6	6	6	7	7	4	6	5	7	7	6	7	6	7	6	6	6	3	2	5	3.333333333	1	1	2	1.333333333
6	6	7	6	4	5	3	4	6	3	5	2	4	5	7	5	5	5	3	4	6	6	6	5	4	7	4	6	6	5	5	3	6	5	7	6	3	4	4	3.666666667	4	4	3	3.666666667
5	5	7	7	5	6	4	5	6	4	6	4	4	6	6	5	7	5	4	6	7	6	7	6	6	6	6	5	6	7	6	6	6	7	7	4	4	5	4	4.333333333	3	3	4	3.333333333
7	7	7	7	5	6	5	7	7	2	5	4	5	5	5	6	7	3	6	5	5	4	6	4	3	7	2	6	6	7	6	5	7	5	5	6	4	5	5	4.666666667	2	1	1	1.333333333
7	7	7	5	7	3	7	7	7	4	6	2	7	7	7	4	7	2	6	7	7	7	7	7	7	6	6	7	7	7	6	4	7	7	6	7	4	2	4	3.333333333	1	2	3	2
7	7	7	5	6	4	7	7	7	2	7	4	7	7	7	7	5	2	3	7	7	7	7	7	5	7	7	7	7	7	7	7	7	7	6	7	4	4	5	4.333333333	1	1	1	1
7	5	7	4	2	1	4	6	7	1	6	2	5	6	5	7	5	2	5	5	6	5	5	5	4	5	5	7	6	6	6	5	6	6	6	6	4	3	4	3.666666667	2	2	2	2
6	5	5	4	4	4	3	7	6	2	4	5	6	5	4	5	5	5	5	6	6	6	5	6	4	6	4	5	5	7	5	5	6	3	5	6	3	3	4	3.333333333	2	2	3	2.333333333
6	6	7	7	6	5	5	5	6	4	6	4	6	6	6	6	5	3	5	6	5	5	5	5	5	6	4	6	5	5	6	5	6	5	6	6	4	4	5	4.333333333	1	1	1	1
6	7	7	5	5	5	3	6	6	2	5	2	6	6	5	5	5	6	5	5	5	5	6	5	6	7	4	5	6	7	6	5	7	6	7	7	5	4	4	4.333333333	5	3	2	3.333333333
5	7	7	7	7	5	6	7	7	2	7	5	5	6	7	7	5	2	6	6	6	5	5	5	5	5	5	6	5	7	5	4	7	5	5	6	4	4	5	4.333333333	5	4	1	3.333333333
6	4	7	7	6	6	6	7	7	5	6	2	6	6	5	4	7	6	7	6	6	6	7	7	6	7	5	7	6	6	6	6	7	7	7	7	5	4	5	4.666666667	2	1	1	1.333333333
5	5	6	4	5	5	6	6	6	2	6	5	5	4	6	5	5	4	5	6	6	6	7	6	6	6	3	5	5	6	6	4	6	4	6	5	4	4	4	4	2	1	2	1.666666667
7	7	7	6	4	5	7	7	7	1	6	6	6	7	7	7	5	3	4	7	7	7	7	6	5	6	6	7	6	7	7	4	7	5	4	6	5	5	4	4.666666667	4	1	2	2.333333333
6	5	7	3	3	5	4	7	7	3	6	2	3	7	6	6	4	2	1	6	7	7	5	7	5	7	6	7	6	7	6	4	7	5	7	7	5	4	5	4.666666667	1	2	1	1.333333333
6	5	7	5	4	5	5	7	7	2	4	3	6	6	4	3	5	4	5	6	6	6	7	6	4	6	2	5	5	6	5	5	7	6	5	6	4	4	4	4	2	3	1	2
6	5	6	4	4	5	4	6	6	3	4	5	6	6	5	3	6	4	5	6	7	7	7	6	3	4	5	5	6	6	7	7	6	5	5	6	5	2	5	4	3	1	2	2
7	6	7	3	5	5	5	7	7	2	6	4	5	6	6	6	5	5	5	6	5	6	7	6	6	7	3	6	7	7	6	6	7	5	4	5	4	4	5	4.333333333	3	1	2	2
6	6	7	3	5	6	5	6	6	2	6	5	5	6	3	6	6	2	6	6	6	6	6	5	5	6	5	6	5	6	6	5	6	5	6	6	4	4	5	4.333333333	2	2	2	2
6	5	7	4	6	5	6	5	6	3	3	2	4	2	4	2	5	4	4	3	5	2	5	4	4	5	2	3	5	6	4	4	5	6	6	4	3	4	2	3	3	1	1	1.666666667
6	6	7	5	5	2	4	5	7	3	6	6	6	5	7	6	6	5	5	5	6	6	5	6	6	7	5	6	6	7	6	6	4	6	3	5	4	3	4	3.666666667	5	4	2	3.666666667
7	7	7	4	7	4	5	7	7	5	5	3	7	6	5	3	7	6	6	6	6	6	7	7	5	7	6	7	7	7	7	3	7	5	7	6	4	2	4	3.333333333	3	1	2	2
6	6	5	4	2	5	3	5	6	5	5	3	3	3	5	6	4	4	3	5	5	5	6	7	6	6	3	6	6	7	5	4	7	7	6	5	3	2	4	3	2	1	2	1.666666667
5	6	7	5	5	6	5	6	5	4	6	5	4	5	5	6	5	5	4	5	5	4	5	5	3	5	4	5	4	6	5	4	5	4	5	5	3	4	4	3.666666667	2	2	2	2
7	6	7	6	5	5	6	7	7	5	7	5	7	6	6	7	6	4	5	7	7	7	7	6	5	7	6	7	7	7	6	7	7	7	7	7	4	4	5	4.333333333	3	4	3	3.333333333
6	6	6	5	5	5	5	5	7	6	5	4	5	6	5	6	5	6	4	5	5	5	5	5	4	5	3	5	6	7	5	4	6	7	6	6	4	4	4	4	4	2	4	3.333333333
6	7	7	5	4	3	3	7	6	2	3	5	1	3	5	6	7	6	6	6	5	7	5	6	7	7	1	7	7	7	7	4	7	7	7	7	4	4	4	4	2	1	1	1.333333333
7	5	7	4	6	4	4	7	7	3	5	1	7	7	6	5	6	4	5	4	4	4	7	7	6	7	5	5	7	7	5	5	7	7	7	5	4	5	5	4.666666667	2	1	2	1.666666667
7	7	7	5	4	4	6	7	7	5	7	5	6	6	6	6	6	7	6	6	6	6	7	6	6	7	4	6	7	7	6	6	7	6	7	7	4	3	4	3.666666667	4	4	1	3
6	5	6	4	7	7	3	7	6	7	5	3	2	5	6	6	7	2	6	5	4	6	7	5	5	7	3	3	4	5	6	2	5	5	7	4	5	4	4	4.333333333	2	3	1	2
6	7	7	6	5	5	5	6	6	4	6	6	6	7	6	6	5	4	5	6	6	6	6	6	6	6	5	6	6	6	6	5	7	5	7	7	4	4	5	4.333333333	2	2	2	2
7	7	7	4	6	5	6	6	7	4	4	2	6	6	4	3	5	4	5	7	7	7	6	7	3	7	3	6	4	7	5	4	5	6	7	7	4	3	4	3.666666667	2	3	2	2.333333333
6	7	6	3	5	5	5	7	7	2	5	2	5	6	6	3	7	6	4	5	7	7	5	6	4	5	6	5	4	6	6	7	7	6	6	5	4	2	3	3	4	3	4	3.666666667
3	4	7	7	5	4	5	7	6	5	3	4	7	7	5	6	6	2	3	6	5	5	7	7	5	6	6	7	7	7	6	5	3	5	6	5	4	5	5	4.666666667	4	5	5	4.666666667
7	7	5	4	5	6	6	7	7	5	6	6	6	7	5	5	5	5	5	5	6	6	7	7	6	7	6	7	6	4	6	4	7	7	6	7	5	4	4	4.333333333	2	1	1	1.333333333
7	7	7	4	7	7	7	7	7	5	7	7	7	7	6	6	7	7	4	7	7	7	3	7	6	7	5	7	7	6	7	7	6	7	7	7	3	1	4	2.666666667	4	1	5	3.333333333
7	7	7	6	4	4	7	7	7	1	7	3	4	6	7	7	7	5	6	7	6	7	7	7	6	7	4	6	7	7	7	7	7	7	7	7	4	3	4	3.666666667	2	1	2	1.666666667
7	4	7	4	3	5	5	4	4	2	6	5	3	6	2	5	3	7	3	5	3	4	4	5	2	6	3	6	3	4	4	5	4	2	6	4	5	4	2	3.666666667	4	3	5	4
7	7	7	7	4	5	6	5	7	2	7	6	6	6	7	7	6	2	2	6	6	6	7	7	7	7	4	5	6	6	7	5	7	5	7	7	5	5	4	4.666666667	4	2	2	2.666666667
6	6	7	7	6	7	4	6	7	3	6	4	6	7	6	6	7	3	3	6	6	6	4	5	5	6	6	6	6	7	7	7	5	5	6	6	4	5	5	4.666666667	2	2	3	2.333333333
6	5	7	5	7	6	5	6	7	4	6	6	5	5	4	6	6	6	6	6	6	6	7	5	5	6	5	6	6	6	6	5	7	5	6	6	4	3	4	3.666666667	1	1	1	1
6	6	6	5	5	5	5	6	6	4	3	3	4	5	4	5	4	5	5	5	5	5	6	3	4	5	5	5	5	5	5	4	4	5	5	6	4	4	4	4	2	2	2	2
7	6	7	5	5	5	7	7	7	2	6	4	5	6	5	2	3	5	4	7	7	7	7	7	6	7	5	7	5	7	7	5	7	6	7	7	2	5	5	4	1	2	3	2
7	7	7	5	6	4	6	6	6	5	5	4	6	6	5	4	5	5	4	5	5	6	5	6	6	6	5	7	6	6	5	5	7	7	6	6	4	4	4	4	4	3	3	3.333333333
5	5	6	6	5	5	5	6	6	5	7	4	5	6	7	7	7	4	5	5	6	5	6	5	5	6	4	6	6	6	6	5	6	6	6	4	3	3	4	3.333333333	3	1	1	1.666666667
7	7	4	4	4	6	6	6	7	2	5	5	5	7	6	3	5	4	3	6	6	6	5	7	2	7	1	6	7	5	6	4	7	6	7	7	5	3	4	4	1	1	1	1
7	7	7	5	6	2	5	6	7	2	6	4	5	6	6	4	5	4	4	7	6	6	6	6	4	7	5	6	5	6	5	5	6	7	6	6	4	3	5	4	3	2	1	2
5	4	3	3	6	2	2	3	3	2	3	6	2	5	2	7	6	5	6	5	6	6	5	3	2	6	5	2	3	6	6	6	6	3	3	5	2	5	4	3.666666667	5	4	4	4.333333333
6	5	5	3	5	5	5	7	7	5	3	5	5	5	3	3	7	6	6	6	6	6	3	6	4	7	3	6	6	5	5	6	7	7	7	7	4	2	4	3.333333333	3	1	2	2
5	7	7	7	6	6	5	7	7	7	7	5	6	6	6	6	7	5	4	6	5	7	6	7	6	7	4	6	7	7	6	5	7	7	7	5	4	5	5	4.666666667	1	1	1	1
6	5	7	5	7	6	6	6	7	6	4	6	5	6	6	3	6	5	5	7	6	7	7	7	7	7	5	6	7	6	6	6	7	7	7	5	5	4	5	4.666666667	3	1	1	1.666666667
7	5	7	7	7	4	5	7	7	6	7	6	6	5	7	7	7	2	7	5	4	5	7	7	7	7	4	5	7	7	7	5	7	7	7	5	2	3	3	2.666666667	2	3	1	2
7	5	7	4	6	6	7	7	7	4	6	5	7	7	7	7	7	6	7	7	7	7	5	5	3	5	7	5	5	5	7	7	7	6	7	7	4	3	5	4	1	1	4	2
6	5	7	6	7	6	5	7	7	5	7	5	2	7	7	7	7	4	6	7	7	7	7	6	5	6	7	5	6	7	7	7	7	6	6	7	4	4	5	4.333333333	1	3	2	2
7	7	7	7	6	4	7	7	7	2	7	4	5	7	5	3	7	1	4	7	7	7	7	6	6	7	4	7	6	7	7	4	7	7	7	7	5	4	4	4.333333333	2	2	1	1.666666667
6	4	7	6	5	1	3	7	7	5	6	5	6	6	7	7	5	1	5	6	6	5	7	3	4	5	6	6	5	6	4	4	7	7	6	7	5	4	5	4.666666667	2	1	1	1.333333333
6	5	6	5	5	4	5	5	6	4	5	2	4	5	5	5	5	5	4	5	5	5	5	5	6	6	5	6	6	6	6	5	5	6	6	7	3	4	4	3.666666667	2	3	2	2.333333333
